Product_ID,User_1,User_10,User_11,User_12,User_13,User_14,User_15,User_16,User_17,User_18,User_19,User_2,User_20,User_21,User_22,User_23,User_24,User_25,User_26,User_27,User_28,User_29,User_3,User_30,User_31,User_32,User_33,User_34,User_35,User_36,User_37,User_38,User_39,User_4,User_40,User_41,User_42,User_43,User_44,User_45,User_46,User_47,User_48,User_49,User_5,User_50,User_6,User_7,User_8,User_9
4K TV,1.0,5.0,4.0,3.0,4.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,0.0,4.0,3.0,2.0,5.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,3.0,5.0,3.0,4.0,0.0
Action Camera,2.0,4.0,5.0,4.0,4.0,0.0,0.0,1.0,4.0,3.0,5.0,0.0,3.0,2.0,5.0,0.0,3.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,3.0,1.0,5.0,1.0,0.0,2.0,5.0,5.0,0.0,3.0,4.0,0.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,5.0,4.0
Air Fryer,0.0,0.0,3.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,4.0,5.0,1.0,0.0,5.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,4.0,0.0,3.0,2.0,1.0,0.0,3.0,5.0,5.0,2.0,5.0,0.0,3.0,1.0,5.0,0.0,0.0,3.0,4.0,2.0,0.0,5.0,2.0,0.0
Bluetooth Headphones,4.0,2.0,5.0,0.0,1.0,5.0,2.0,1.0,3.0,5.0,1.0,3.0,4.0,0.0,4.0,4.0,3.0,1.0,2.0,0.0,0.0,5.0,4.0,0.0,1.0,3.0,3.0,3.0,5.0,0.0,5.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0,4.0,4.0,1.0,2.0,4.0,5.0,2.0,2.0,1.0,1.0,5.0
Coffee Maker,1.0,3.0,3.0,4.0,2.0,0.0,1.0,0.0,1.0,4.0,5.0,4.0,2.0,5.0,3.0,0.0,2.0,4.0,0.0,2.0,0.0,4.0,3.0,4.0,4.0,2.0,2.0,0.0,2.0,2.0,4.0,4.0,5.0,0.0,4.0,1.0,3.0,5.0,4.0,0.0,5.0,4.0,0.0,1.0,5.0,0.0,1.0,3.0,2.0,1.0
Electric Kettle,2.0,2.0,3.0,2.0,0.0,3.0,3.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,2.0,4.0,0.0,1.0,4.0,5.0,0.0,0.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0,3.0,4.0,4.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0
Fitness Tracker,2.0,3.0,5.0,4.0,5.0,0.0,1.0,3.0,0.0,5.0,5.0,0.0,4.0,0.0,4.0,5.0,1.0,0.0,0.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,3.0,5.0,0.0,5.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
Gaming Laptop,4.0,0.0,1.0,0.0,4.0,3.0,0.0,2.0,5.0,5.0,0.0,3.0,5.0,5.0,0.0,4.0,4.0,0.0,3.0,0.0,0.0,1.0,3.0,5.0,5.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,1.0,5.0,2.0,1.0,1.0,5.0,5.0,0.0,3.0,4.0,2.0,3.0,4.0,0.0,1.0,5.0,1.0,2.0
Gaming Monitor,4.0,0.0,0.0,5.0,1.0,0.0,4.0,2.0,5.0,4.0,3.0,2.0,2.0,4.0,0.0,0.0,4.0,0.0,3.0,5.0,5.0,4.0,1.0,0.0,0.0,4.0,2.0,5.0,5.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,5.0,2.0,2.0,3.0,0.0,0.0,4.0,5.0,3.0,5.0,2.0,5.0,2.0,2.0
Home Router,3.0,0.0,2.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0,0.0,4.0,3.0,0.0,4.0,1.0,2.0,0.0,5.0,1.0,3.0,4.0,1.0,0.0,5.0,2.0,1.0,5.0,1.0,4.0,3.0,1.0,4.0,0.0,2.0,4.0,5.0,4.0,3.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,5.0,5.0,4.0,5.0
Mechanical Keyboard,4.0,0.0,0.0,2.0,0.0,1.0,4.0,1.0,4.0,2.0,0.0,2.0,0.0,1.0,2.0,5.0,3.0,0.0,4.0,1.0,3.0,0.0,0.0,3.0,2.0,4.0,5.0,3.0,5.0,3.0,2.0,5.0,2.0,0.0,0.0,4.0,1.0,2.0,5.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0
Office Chair,3.0,3.0,2.0,5.0,3.0,5.0,0.0,5.0,0.0,4.0,2.0,1.0,4.0,2.0,0.0,4.0,5.0,1.0,0.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,4.0,5.0,0.0,2.0,5.0,3.0,2.0,2.0,4.0,5.0,0.0,2.0,2.0,0.0,0.0,5.0,2.0,4.0,4.0,3.0
Portable SSD,2.0,0.0,2.0,0.0,1.0,4.0,3.0,0.0,2.0,4.0,3.0,1.0,1.0,3.0,5.0,2.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,1.0,2.0,4.0,5.0,5.0,0.0,2.0,0.0,3.0,3.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,1.0,5.0,5.0,3.0,2.0,1.0
Robot Vacuum,2.0,2.0,0.0,5.0,3.0,0.0,0.0,5.0,3.0,1.0,1.0,2.0,5.0,0.0,4.0,1.0,4.0,2.0,2.0,1.0,0.0,4.0,2.0,5.0,5.0,2.0,5.0,0.0,2.0,0.0,5.0,3.0,0.0,1.0,0.0,2.0,3.0,0.0,3.0,0.0,5.0,0.0,5.0,4.0,4.0,1.0,3.0,0.0,2.0,0.0
Smart Light Bulbs,4.0,5.0,4.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,3.0,3.0,5.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,4.0,1.0,3.0,2.0,5.0,3.0,3.0,0.0,5.0,0.0,2.0,5.0,2.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,1.0,1.0,3.0,2.0,5.0
Smart Speaker,5.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,5.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,0.0,1.0,3.0,1.0,5.0,1.0,4.0,0.0,2.0,1.0,5.0,5.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,3.0
Smartwatch,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,5.0,1.0,5.0,4.0,5.0,5.0,1.0,5.0,3.0,2.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,1.0,4.0,1.0,2.0,3.0,5.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
USB-C Charger,5.0,5.0,2.0,3.0,4.0,3.0,2.0,0.0,3.0,3.0,0.0,4.0,4.0,1.0,0.0,1.0,4.0,1.0,0.0,3.0,1.0,3.0,5.0,3.0,2.0,2.0,0.0,4.0,4.0,4.0,4.0,2.0,0.0,4.0,2.0,5.0,4.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,5.0,5.0,1.0,3.0,3.0,1.0
VR Headset,1.0,3.0,4.0,5.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,4.0,0.0,5.0,2.0,0.0,4.0,2.0,2.0,5.0,3.0,3.0,3.0,4.0,2.0,0.0,2.0,4.0,3.0,2.0,3.0,4.0,1.0,2.0,4.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0
Wireless Mouse,5.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,4.0,2.0,1.0,0.0,2.0,5.0,4.0,0.0,1.0,0.0,2.0,0.0,5.0,5.0,1.0,3.0,0.0,3.0,3.0,1.0,3.0,4.0,1.0,1.0,3.0,3.0,5.0,5.0,2.0,0.0,3.0,0.0,4.0,2.0,5.0,2.0,4.0,2.0,5.0,3.0,3.0
